,pre-processado-sw-lemma,Toxic_predict,Toxic_predict_str
1366,2015 fifa bswc wiki deletion done deal donot understand someone want page deleted guess guy hate beach soccer suck guess,0,Non-Toxic
1367,guess compassionate diplomatic side kicking heh,1,Toxic
1368,fuckk u jayz gayy,1,Toxic
1369,april 2008 please stop continue vandalize wikipedia blocked editing,0,Non-Toxic
1370,please vandalize page edit methadone continue blocked editing,0,Non-Toxic
1371,go fuck bella swan go fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella swango fuck bella sw,1,Toxic
1372,depth islamist apologist sink right jihad johnny used ak47 plinking stopped working mere peaceful popping tin traded rpk light machinegun cause figured would get closer allah mortifying flesh via toting extra kilogram steel around johnny traitor quite clearly fuckwit wiki tool posting,0,Non-Toxic
1373,oh go fuck homo,1,Toxic
1374,kevin heffernan cute little penis big bird arenot woman seen super trooper part kevin heffernan naked isnot little penis cute like toddler heffernan circumcised,1,Toxic
1375,organization hate jew admires adolf hitler belief jew khazars anti semitic,1,Toxic
1376,worst integrity,1,Toxic
1377,remove spoiler heaven sake get leave mystery people would like see play future bunch arrogant party poopers stop jerk,1,Toxic
1378,ken could please refactor vote include disparaging remark violate policy agf personally attacked everyone voted keep intimidated anyone may go vote keep take great offence remark oh keep damn image puritan idiot,1,Toxic
1379,mary wollstonecraft wa crazy woman tried commit suicide mother two child two girl exact name fanny mary shelley smhe wa pasionate everything especially fighting woman right vote think child tought ugly witch wa married two affair considered ill affair reason called know death everyone considered prostititute monster hahahahahahahhahahahahahahahahahahahahhhahhahhahahaahahhahahahahhaahahahahahahaahahahahahhaahahahhaahhahaahahahahhaahahahahaahahahahaahahahahahahahahahahahahahhaahaha ho,0,Non-Toxic
1380,let add armistice korea ended fighting wa signed united nation command commander article unc note rok relinquished command military force unc early war statement unreferenced thus military sk roka wa bound armistice armistice asked projected government party would begin peace talk near future occur event fighting wa stopped mean document e g legal document wa binding party war ended,0,Non-Toxic
1381,totally ridiculous especially unbelievable given talk page shamefully bad block sarek attempted explain grundle approach problematic blocked neither personal attack harassment consider bringing block happy approach wp ani soon bad block expires second bad block account,0,Non-Toxic
1382,omg wtf lol burrito taco love taco hahahasdflkashtyweoafuiw tr fdk fsdf fucking shit,1,Toxic
1383,sir idiot intelligently greater einstein bayesian theory,1,Toxic
1384,benjoe markland novice wiki drown,1,Toxic
1385,heh forgot jackal disambiguation though wonder second primary topic even legit,0,Non-Toxic
1386,new edits blackout rotor weapon isnot shieldthere nothing base importantly frenzy doesnot launch barricade chest ala soundwave feature barricade toy script make mention frenzy barricade even relationship fact really need stop using toy reference point ability tfs movie generalthe toy probably ton crap going see movie,0,Non-Toxic
1387,ok wa testing see quick reaction stupid edits guy sorted,1,Toxic
1388,chaos dvd,1,Toxic
1389,queer theory addition hi note let know moved recent addition queer theory talk page reason talk page didnot want come sounding harsh didnot think addition wa worthwhile think need work,0,Non-Toxic
1390,smarojit chakravarty krimuk90 aka smarojit know true identity sitting son daughter messaged fake account blocked know hack account find make nude beat hard remember http facebook com home php refsrc http 3a 2f 2fm facebook com 2fcheckpoint 2f _rdr profile picture view profile_id 641212531 enemy mridul sharma,1,Toxic
1391,dont people like jump bridge reason hate wikipedia massive cunt,1,Toxic
1392,tutankharmun bum,1,Toxic
1393,apec australia 2007 quit bullshit get blocked moron,1,Toxic
1394,im gay watch gfay people lick themslves,1,Toxic
1395,stop stop goddam vandalism hell pay,1,Toxic
1396,hate jmlk17,1,Toxic
1397,fuck u bash fucking skull,1,Toxic
1398,took shit brought chinese soup,1,Toxic
1399,edit conflict incredulous dick moodygroove,1,Toxic
1400,canot even block properly hey fucking check user u stupid cant even block properly let give hint ip 68 149 31 252 must block account creation ability ip must block ip anymore damage anonymously run whois check see ip static stupid cable internet static ok stupid picture example http img156 imageshack u img156 8615 example1zw5 jpg http img295 imageshack u img295 5028 example2hs4 jpg call admin pathetic,1,Toxic
1401,genitals pothead,1,Toxic
1402,party rocker house tonight faeces come clitoris,1,Toxic
1403,follow wikipedia guideline haha idiot country like panama contest united state becomes disputed wikipedia crimea reached referendum parliament part russia,0,Non-Toxic
